Title,Authors
The Republic of India,['Alan Gledhill']
A History of India,['Burton Stein']
History of India,"['Narendra Krishna Sinha', 'Anil Chandra Banerjee']"
The Goddess and the Nation,['Sumathi Ramaswamy']
India's Politics,['Bimal Jalan']
Reconstructing India,['Sir Mokshagundam Visvesvaraya']
India Transformed,['Rakesh Mohan']
Putting India First : India Positive Citizen Perspectives Vol I,['Savitha Rao']
"What an India, Sirjee",['Anoop Wadhwa']
India After Nehru,['Kuldip Nayar']
Is India Civilized?,['Sir John George Woodroffe']
"India, that is Bharat",['J Sai Deepak']
The Sacred India Book,['Amit Pasricha']
Linguistic Survey of India,['Linguistic Survey of India']
"History of India: The European struggle for Indian supremacy in the seventeenth century, by Sir W.W. Hunter",['Abraham Valentine Williams Jackson']
100% India,['Catherine Geel']
Glimpses of India,['J. H. Furneaux']
"Draft of the Proposed Petition of the East-India Company to the House of Lords, Against Bill No. 3 for the Better Government of India",['East India Company']
The India Way,['S. Jaishankar']
India,"['Kathleen Firth', 'Felicity Hand']"
India in Russian Literature,['Robert H. Stacy']
The Wishing Tree,['Subhash Kak']
Colonial Syndrome,['K. Ramakrishna Rao']
Ancient India in Its Wider World,"['Grant Richard Parker', 'Carla M. Sinopoli']"
India Old and New,['Sir Valentine Chirol']
India,"['Shashi Tharoor', 'Shashi And Ferranti', 'Ferrante (photo)']"
Historical Dictionary of India,['Surjit Mansingh']
The Constitution of India,['Constituent Assembly of India']
Making India Great Again,['M. Rajivlochan']
English Rule and Native Opinion in India,['James Routledge']
A Short History of India and Pakistan,['Thomas Walter Wallbank']
The Story of the Telegraph in India,['Charles C. Adley']
"Young India, 1924-1926",['Mahatma Gandhi']
Wonders of India,['Sanjay Sondhi']
"Studies in ""Alberuni's India""",['Arvind Sharma']
"A Collection of Treaties, Engagements, and Sanads Relating to India and Neighbouring Countries",['India. Foreign and Political Department']
India International Centre Quarterly,['India International Centre']
Dreaming Big,"['Sam Pitroda', 'David Chanoff']"
India’s Villages in the 21st Century,"['Surinder S. Jodhka', 'Edward Simpson']"
Tribalism in India,['Kamaladevi Chattopadhyaya']
India Unbound,['Gurcharan Das']
Battles Half Won,['Ashutosh Varshney']
India After Gandhi,['Ramachandra Guha']
Famines and Poverty in India,['H. K. Mishra']
Gandhi's Assassin,['Dhirendra Jha']
The Other Side of Silence,['Urvashi Butalia']
Gandhi Before India,['Ramachandra Guha']
"Ancient India , as Described by Megasthenes and Arrian","['Flavius Arrianus', 'John Watson McCrindle', 'Megasthenes']"
"A Collection of Treaties, Engagements, and Sunnuds Relating to India and Neighbouring Countries",['India. Foreign and Political Department']
Young India,['Lala Lajpat Rai']
Young India,['Lala Lajpat Rai']
The Story of India,['Michael Wood']
The Martial Races of India,['George Fletcher MacMunn']
The Tribal Culture of India,"['Lalita Prasad Vidyarthi', 'Binay Kumar Rai']"
Early Writings on India,['H. K. Kaul']
VS Naipul's India,['Vasant S. Patel']
A History of India,['Romila Thapar']
Document Raj,['Bhavani Raman']
India in the World Economy,['Tirthankar Roy']
Navigating India,['Bharat Joshi']
Quit India Revolution,['K. K. Chaudhari']
"The Ancient History of India, Vedic Period","['K. C. Singhal', 'Roshan Gupta']"
Gandhi in India’s Literary and Cultural Imagination,"['Nishat Zaidi', 'Indrani Das Gupta']"
A BETTER INDIA A BETTER WORLD,['N R Narayana Murthy']
Vishnu's Crowded Temple,['Maria Misra']
Medicine and Medical Policies in India,['Poonam Bala']
Crisis and Change in Contemporary India,"['Upendra Baxi', 'Bhikhu Parekh']"
Streaming the Past,['Vikas K. Verma']
The Religions of India,['Edward Washburn Hopkins']
"The History of India, from the Earliest Period to the Close of Lord Dalhousie's Administration",['John Clark Marshman']
Inter-generational Conflict in India,['Indian Committee for Cultural Freedom']
India in the Years 1917-1934/35,['India. Home Dept']
Legend Of Suheldev,['Amish Tripathi']
The Burning Forest,['Nandini Sandar']
India's Tryst With Destiny,['No Author']
India Distorted,['S. C. Mittal']
Census of India [1951],['India. Census Commissioner']
"A History of the Sepoy War in India, 1857-1858",['Sir John William Kaye']
India,['Robert L. Hardgrave']
Transforming India,['Sumantra Bose']
A History of India,['Peter Robb']
The Himalayas and India-China Relations,['Devendra Nath Panigrahi']
Imperial Gazetteer of India,"['James Sutherland Cotton', 'Sir Richard Burn', 'Sir William Stevenson Meyer']"
"My Diary in India, in the Year 1858-9",['Sir William Howard Russell']
Beyond Belief,['Srirupa Roy']
Why India Needs the Presidential System,['Bhanu Dhamija']
"Census of India, 1901",['India. Census Commissioner']
India's Development After Independence,['Brij Mohan Jauhari']
Untouchability in Rural India,['Ghanshyam Shah']
India and the Middle East,['Prithvi Ram Mudiam']
Gandhis India,['Mahatma Gandhi']
"Political, Legal, and Military History of India",['Harbans Singh Bhatia']
Flawed,['Pavan C. Lall']
The Last Jews of Cochin,"['Nathan Katz', 'Ellen S. Goldberg']"
Inhabiting Cyberspace in India,"['Simi Malhotra', 'Kanika Sharma', 'Sakshi Dogra']"
"The Spirit of the Press and of the Proprietors of India Stock, Shewn in Extracts from the Leading Newspapers and Magazines, and the Debates at the India House, Relative to the Compensations to be Granted to the East India Company's Maritime Service; Together with Testimonials from the Presidents of the Company's Factory in China; to which is Prefixed the Dissent of John Forbes, Esq., a Member of the Court of Directors. Edited by J. Copling",['John COPLING']
The Beautiful and the Damned,['Siddhartha Deb']
"Census of India, 1921",['India. Census Commissioner']
Poverty and Un-British Rule in India,['Dadabhai Naoroji']
On the Education of the People of India,['Charles Edward Trevelyan']
Autonomy Movements and Federal India,['Bhupinder Singh']
"Let's Visit Mumbai! (Maya & Neel's India Adventure Series, Book 2)","['Ajanta Chakraborty', 'Vivek Kumar']"
Tumult in India,['George E. Jones']
Indian Renaissance,"['Hermione De Almeida', 'George H. Gilpin']"
Re-forming India,['Niraja Gopal Jayal']
"Census of India, 1961: India",['India. Office of the Registrar General']
The End of India,['Khushwant Singh']
Getting India Back on Track,"['Bibek Debroy', 'Ashley J Tellis', 'Reece Trevor']"
Steps to Water,['Morna Livingston']
Education and Caste in India,"['Ghanshyam Shah', 'Kanak Kanti Bagchi', 'Vishwanatha Kalaiah']"
Re-forming India,['Niraja Gopal Jayal']
Education and Caste in India,"['Ghanshyam Shah', 'Kanak Kanti Bagchi', 'Vishwanatha Kalaiah']"
Natural Disasters and Indian History,['Tirthankar Roy']
"Census of India, 1951",['India. Census Commissioner']
Democratic Governance in India,"['Niraja Gopal Jayal', 'Sudha Pai']"
The Press Law in India,['Press Association of India']
Religion and Law in India,"['Mohammad Naseem', 'Saman Naseem']"
Memoirs of the Geological Survey of India,['Geological Survey of India']
The Future of India,['Bimal Jalan']
Cultural History of India,['Om Prakash']
"North-East India: Land, People and Economy","['Kamal Ramprit Dikshit', 'Jutta K Dikshit']"
A Brief History of India,['Alain Daniélou']
Indian Economy Performance and Policies- SBPD Publications,['Dr. V. C. Sinha']
The Nuclear Non-Proliferation Treaty and India,['Rajiv Nayan']
"A Collection of Treaties, Engagements, and Sunnuds Relating to India and Neighbouring Countries: Bengal, Assam, Burmah, and the Eastern Archipelago",['India. Foreign and Political Department']
"Unresolved Conflict, China and India",['Bhim Sandhu']
A Short History of the East India Company,['Francis Russell']
A Critique of Social Movements in India,['Somen Chakraborty']
Data India,[]
Routledge Handbook of Contemporary India,['Knut A. Jacobsen']
"One Language, Two Scripts",['Christopher Rolland King']
Routledge Handbook of Contemporary India,['Knut A. Jacobsen']
A New History of India,['Stanley A. Wolpert']
A Guide to the India Office Library,"['India Office Library', 'S. C. Sutton']"
Linguistic Landscaping in India,"['N. H. Itagi', 'Shailendra Kumar Singh']"
The Government and Politics of India,['Ramesh Chandra Thakur']
Bhakti and Power,"['John Stratton Hawley', 'Christian Lee Novetzke', 'Swapna Sharma']"
"Rediscovery Of India, The (pb)","['Desai', 'Meghnad']"
History of Science and Technology in India in the Context of the 'Great Synergy',['Nadja Schuppenhauer']
India's Past,['Arthur Anthony Macdonell']
History of Science and Technology in India in the Context of the 'Great Synergy',['Nadja Schuppenhauer']
India's Past,['Arthur Anthony Macdonell']
The Royal Gurjars,['Nau Nihal Singh']
Religion in India,['Lawrence A. Babb']
Reel India,['Namrata Joshi']
"Finance and Revenue Accounts of the Government of India and Estimate of Revenue, Expenditure, and Cash Balances (varies)",['India. Finance Department']
The Descent of Air India,['Jitender Bhargava']
The Lost Warfare of India,"['Antony Cummins', 'Harjit Singh Sagoo']"
‘The Mortal God',['Milinda Banerjee']
"India, the Challenges of Development",['Gianni Zanini']
"India, the Challenges of Development",['Gianni Zanini']
Records of the Geological Survey of India,['Geological Survey of India']
"Faiths, Fairs & Festivals of India",['Cecil Henry Buck']
Language Shifts Among the Scheduled Tribes in India,['M. Ishtiaq']
All about India,['Shalu Sharma']
An Uncertain Glory,"['Jean Drèze', 'Amartya Sen']"
"Census of India, 1911 ...",['India. Census Commissioner']
"The Rajput States and the East India Company, from the Close of 18th Century to 1820",['Sukumar Bhattacharyya']
Reforms and Economic Transformation in India,"['Jagdish Bhagwati', 'Arvind Panagariya']"
"Discrimination, Challenge and Response","['Venkat Pulla', 'Rituparna Bhattacharyya', 'Sanjai Bhatt']"
"Democracy, Politics & Governance",['A. Surya Prakash']
India,['Arvind Panagariya']
"Religion, Civil Society and Democracy in Contemporary India",['Anindita Chakrabarti']
"An Essay on the Civilisations of India, China and Japan",['G Lowes Dickinson']
Marxism and Social Revolution in India and Other Essays,['Puran Chandra Joshi']
"A Collection of Treaties, Engagements, and Sunnuds Relating to India and Neighbouring Countries: North-Western Provinces, Oudh, Nipal, Bundelcund and",['India Foreign and Political Dept']
State and Capital in Independent India,['Chirashree Das Gupta']
Administrative Reforms in India,['Shriram Maheshwari']
A People's History of India 14,['Irfan Habib']
Electrifying India,['Sunila S. Kale']
Indian History,[]
Capital and Labour Redefined,['Amiya Kumar Bagchi']
The India Office List,[]
India Picture Book - India Photography,['Jana Villaneuva']
India,"['Jean Drèze', 'Amartya Sen']"
On India,['Khushwant Singh']
Unshackling India,"['Ajay Chhibber', 'Salman Anees Soz']"
India's Founding Moment,['Madhav Khosla']
Nehru to the Nineties,['B. D. Dua']
India and Israel,"['Jayant Prasad', 'S. Samuel C. Rajiv']"
Social Development in India,['Ramesh Chandra']
Poverty in India,"['Vinayak Mahadev Dandekar', 'Vishnu Mahadeo Dandekar', 'Nilakanth Rath']"
Understanding Contemporary India,"['Achin Vanaik', 'Rajeev Bhargava']"
Account of the Operations of the Great Trigonometrical Survey of India: Details of the tidal observations taken during the period from 1873 to 1892 and a description of the methods of reduction,"['India. Great Trigonometrical Survey', 'James Thomas Walker', 'Charles Thomas Haig', 'James Palladio Basevi', 'William James Heaviside', 'William Maxwell Cambell', 'George Strahan', 'William Hammond Cole', 'J. Eccles', 'Sir Sidney Gerald Burrard']"
A Dictionary of Business and Management in India,['Peter Enderwick']
Hellenism in Ancient India,['Gauranga Nath Banerjee']
Basic Income,"['Sarath Davala', 'Renana Jhabvala', 'Guy Standing', 'Soumya Kapoor Mehta']"
The Rise of China and India,"['A. Santos-Paulino', 'G. Wan']"
Assessment of Climate Change over the Indian Region,"['R. Krishnan', 'J. Sanjay', 'Chellappan Gnanaseelan', 'Milind Mujumdar', 'Ashwini Kulkarni', 'Supriyo Chakraborty']"
Legacy of a Divided Nation,['Mushirul Hasan']
The Making of India,['K.S. Valdiya']
Guide to Airports Authority of India (AAI) Junior Executive Airport Operations (AO),['Disha Experts']
Political Representation In India,['Abhay V Datar']
Foreign Policy Of India,['V. N. Khanna']
India's Nuclear Doctrine,['V. N. Khanna']
Export Policy and Management in India,['Vibha Mathur']
Our Time Has Come,['Alyssa Ayres']
Linguistic Survey of India,['Linguistic Survey of India']
India,['Diana L Eck']
Style of India,['Geeta Khanna']
India Automated: How the Fourth Industrial Revolution is Transforming India,['Pranjal Sharma']
India's Undeclared Emergency,['Arvind Narrain']
Chitra,['Jean Marie Lafont']
Language Politics and Public Sphere in North India,['Mithilesh Kumar Jha']
Platform Capitalism in India,"['Adrian Athique', 'Vibodh Parthasarathi']"
Development as Communication,"['Uma Narula', 'W. Barnett Pearce']"
Domestic Violence Law in India,['Shalu Nigam']
"Wanderers, Kings, Merchants",['Peggy Mohan']
Final Frontier,['Bharath Gopalaswamy']
The Discovery of India,['Jawaharlal Nehru']
Muslim Architecture of South India,['Mehrdad Shokoohy']
Traditions from India,['Shelby Mamdani']
Music and Musical Thought in Early India,['Lewis Rowell']
The Partition Of India,['Anita Inder Singh']
The Greater India Experiment,['Arkotong Longkumer']
India,['D. R. SarDesai']
The Making of India,['Akhilesh Tilotia']
Philosophies of India,['Heinrich Zimmer']
Discover India: India Activity Book,['Sonia Mehta']
A Short History of Muslim Rule in India,['Ishwari Prasad']
The Idea of India,['Sunil Khilnani']
Urbanization and Urban Systems in India,['R. Ramachandran']
"Print, Folklore, and Nationalism in Colonial South India",['Stuart H. Blackburn']
Train,['DK']
